Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,relevant_to_barrier_immune
prerank,Negative Regulation Of Viral Process (GO:0048525),0.7702269542502287,2.770852182254746,0.0,0.0,0.0,34/55,8.49%,OASL;OAS1;OAS2;MX1;IFITM1;IFITM3;IFI16;OAS3;PLSCR1;LTF;ISG15;RSAD2;APOBEC3A;IFIH1;ZNFX1;ISG20;TRIM62;TRIM14;STAT1;N4BP1;APOBEC3C;TNIP1;TRIM21;TRIM11;IFIT1;PPIA;ZC3HAV1;ZFP36;IFIT5;APOBEC3G;BST2;EIF2AK2;CCL5;UBP1,False
prerank,Cellular Respiration (GO:0045333),0.586000098865928,2.292596515459028,0.0,0.0,0.0,47/83,19.67%,NR4A3;COX5A;NDUFB9;CYCS;UQCRC1;MDH2;NDUFS6;COX8A;CYC1;NDUFB4;NDUFS8;UQCRQ;COX7B;MTFR2;NDUFAB1;NDUFA6;UQCRH;COX6A1;UQCR10;NDUFA1;NDUFB3;UQCRFS1;COX6C;CHCHD5;SDHB;COX6B1;NDUFA8;NDUFS3;NDUFA9;NDUFB10;NDUFS5;COX7A2;UQCRC2;NDUFS2;NDUFB6;COX5B;OXA1L;NDUFA4;NDUFV1;COX7C;MTFR1;COX4I1;NDUFS7;NDUFB1;NDUFB11;NDUFA3;NDUFV3,False
prerank,Oxidative Phosphorylation (GO:0006119),0.6458626676917729,2.2956329239567665,0.0,0.0,0.0,32/49,24.85%,NDUFB9;UQCRC1;NDUFS6;NDUFB4;NDUFS8;CHCHD10;NDUFAB1;NDUFA6;UQCRH;NDUFA1;NDUFB3;SDHB;NDUFA8;NDUFS3;NDUFA9;NDUFB10;NDUFS5;UQCRC2;NDUFS2;NDUFB6;SDHD;NDUFV1;NDUFS7;NDUFB1;NDUFB11;NDUFA3;NDUFV3;NDUFB7;NDUFB8;SDHC;NDUFC1;NDUFB2,False
prerank,Defense Response To Bacterium (GO:0042742),0.541273086744959,2.299048144728624,0.0,0.0,0.0,61/145,14.68%,LCE3A;S100A9;NOD2;OAS1;OAS2;S100A8;KRT6A;OAS3;SPRR2A;SELP;LTF;PI3;ISG15;MYD88;S100A12;PYCARD;GSDMC;GSDMD;ZNFX1;DEFB4A;SERPINE1;TLR2;SHC1;LYZ;GBP1;LCN2;RAB1A;S100A14;GNLY;RNF213;AKIRIN2;WFDC12;CASP4;FGR;PGLYRP2;SYK;GBP3;DEFB103A;CEBPB;GBP6;IL6R;CAMP;FCER1G;PPP1R11;ROMO1;GBP4;GBP2;PGLYRP4;CXCL13;RNF31;HLA-A;PLA2G2A;IFNE;LCE3C;IL6;PRKCD;RNASE13;PGLYRP3;NLRC4;HLA-E;NOD1,False
prerank,Response To Interleukin-1 (GO:0070555),0.5944134593419054,2.300562083245135,0.0,0.0,0.0,51/77,22.90%,MYD88;SELE;IRAK2;PYCARD;IRAK1;HIF1A;CD47;ZC3H12A;CCL18;CCL22;GBP1;NFKB1;CCL2;SRC;ADAMTS12;CCL17;CCL19;MAPK11;HYAL2;SIRPA;CXCL8;RELA;GBP3;CCL5;ADAMTS7;XCL1;YTHDC2;LGALS9;CCL4;GBP2;CCL13;SFRP1;CCL1;ANXA1;CCL21;CCL20;SMPD1;CCL26;HYAL1;RC3H1;CCL7;NKX3-1;CD40;CCL3;USP10;TAF9;IRAK3;CCL24;XCL2;HAS2;CCL23,True
prerank,Cell Cycle G2/M Phase Transition (GO:0044839),0.7000993878189886,2.3014053039071505,0.0,0.0,0.0,21/39,11.61%,CDC25B;CCNB1;MELK;FOXM1;AURKA;PKMYT1;AURKB;CCNA2;CDK1;CDC25A;DNM2;UBE2A;PLK1;NES;MASTL;ARPP19;CDK2;CDC25C;TAF2;KHDRBS1;CHEK2,False
prerank,Regulation Of Endopeptidase Activity (GO:0052548),0.628533256067042,2.3055618765166828,0.0,0.0,0.0,28/59,11.69%,SERPINB3;SERPINB4;SERPINB13;GAPDH;FURIN;SERPINB6;PSME2;PRELID1;SERPINE1;SERPINB1;PSME3;HDAC1;SERPINB9;ATP13A2;SPOCK2;SERPINA1;PSMB8;PSME1;PSMA3;SERPINE2;PICALM;SERPINA3;AKT1;TIMP1;BIRC3;CRB2;PSMB9;SERPINB8,False
prerank,Establishment Of Protein Localization To Mitochondrion (GO:0072655),0.6693908592537904,2.31701054612293,0.0,0.0,0.0,25/43,12.90%,HK2;TOMM40;TOMM22;BCAP31;TIMM50;TIMM13;PITRM1;TIMM23;TOMM34;GRPEL1;TSPO;TIMM44;TIMM17A;GRPEL2;TOMM40L;AKT1;TIMM8B;HK1;TIMM10;CHCHD4;ROMO1;GDAP1;TIMM21;HSPD1;RALA,False
prerank,Mitotic Cell Cycle Phase Transition (GO:0044772),0.581165313109663,2.3177647044749694,0.0,0.0,0.0,53/107,15.53%,CDC25B;CCNB1;MELK;EIF4EBP1;FOXM1;UBE2S;TACC3;E2F3;CDKN3;CCND2;AURKA;PKMYT1;UBE2C;CCNB2;CACUL1;CCNA2;RCC1;CDK1;CDC25A;CUL1;DNM2;CDKN1A;CCNE1;EIF4E;CCND3;E2F1;UBE2A;PLK1;NES;CDC7;DBF4;MASTL;ARPP19;CDK2;CDC25C;TAF2;ANAPC1;CCNE2;GSPT1;CCNJ;KHDRBS1;PIM2;CCNF;CHEK2;CCNJL;CTDP1;RPS6KB1;MYC;CDC27;CDC23;GPR132;PLK2;PLK3,False
prerank,Positive Regulation Of T Cell Migration (GO:2000406),0.769153593571328,2.318593197725329,0.0,0.0,0.0,18/25,14.49%,S100A7;WNT5A;PYCARD;CXCL10;CCR2;RHOA;ADAM17;TMEM102;CCL5;XCL1;OXSR1;DOCK8;CXCL13;ABL2;CCL21;CCL20;STK39;ADAM10,False
prerank,Mitochondrial Gene Expression (GO:0140053),0.5901047921568237,2.3210199458278056,0.0,0.0,0.0,61/100,23.57%,GATB;MRPS6;MRPL37;MRPL28;MRPS15;MRPS7;FASTKD1;MRPL27;SLC25A33;MRPL51;GADD45GIP1;MRPL47;MRPL36;MRPS12;MRPL14;MRPL4;MRPL13;MRPS22;MRPS10;MRPL16;MRPL17;TBRG4;MRPL39;MRPL21;MRPS16;MRPL35;MRPS18A;TFB2M;MRPL41;MRPL12;MRPS5;FASTKD5;MRPL3;MRPL20;MRPS34;QRSL1;FASTKD2;MRPL52;MRPS11;MRPL11;MRPL19;MRPL18;CHCHD1;MRPL54;MRPL55;MRPL10;MRPL34;MRPS23;MRPL44;MRPL50;MRPL22;FASTK;MRPL57;MRPS2;MRPL1;MRPL9;MRPL24;DAP3;MRPL49;RARS2;MTERF3,False
prerank,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),0.5186341819508623,2.322038213404118,0.0,0.0,0.0,94/219,15.40%,ECT2;NOD2;CLEC7A;NLRX1;GAPDH;CASP10;TNFRSF10B;WNT5A;LTF;MYD88;S100A12;TNIP2;FLNA;SHISA5;MAP3K14;FKBP1A;TNFRSF1A;PYCARD;TRAF2;IRAK1;TNFSF10;TRAF3IP2;LTBR;CCR7;TRIM22;TFG;ZC3H12A;REL;TRAF3;ARRB2;TRIM25;TRIM62;HMOX1;BCL10;CANT1;APOL2;GSTP1;SLC20A1;STAT1;CCL19;TRAF4;TNIP1;TRIM21;TNIP3;DDX21;NUP62;RHOA;SECTM1;ZFAND6;RHOH;IFIT5;BST2;RELA;PLCG2;CASP8;IKBKE;UBE2N;HLA-DRB1;LTB;LGALS9;CPNE1;VAPA;FASLG;BIRC3;MTDH;PARP1;CD74;LITAF;ESR1;CARD11;CARD19;PIM2;ATP2C1;RNF31;CC2D1A;LILRB4;DDX1;CHUK;TRADD;CCL21;TICAM1;PPP5C;IKBKG;LAMTOR5;MUL1;CD4;TRIM58;RIOK3;TRAF1;NOD1;TBK1;BIRC2;PLK2;TRAF5,False
prerank,Intracellular Protein Transport (GO:0006886),0.5007991080584577,2.3258348782418796,0.0,0.0,0.0,154/309,19.10%,KPNA2;RAB31;E2F3;HOMER3;ARL14;BCL3;LMAN1;CALR;NAPA;RAB24;CTSA;TGFB1;STX6;GIPC1;AP1S3;STAT3;STX11;MMP12;SURF4;COPB2;ARL5B;ARF4;APLP2;BAG3;ARF3;RAB7A;YWHAH;TMED9;RAB35;RAB1A;HGS;FAM53C;CLTC;RAN;STX3;KPNA3;ARFRP1;RAB22A;AP3D1;RAB38;PREB;AKIRIN2;CDC37;NUP88;NUP188;NUP62;RAB18;NUP50;TIMM50;RAB29;NAPG;IPO13;RAB5A;POM121;VPS37B;STX4;VPS25;HSPA9;SYK;UBAP1;NUP107;TIMM23;COPA;UNC93B1;HEATR3;AP3B1;LAMP2;XPO6;GRPEL1;TIMM44;KPNB1;LAPTM5;ARFIP2;STAM;TIMM17A;GRPEL2;AKT1;XPO5;PDCD6;VPS29;CHP1;NPM1;NUTF2;ROMO1;AP2A1;EHD1;CD74;SNX8;ARHGEF2;STX12;CTTN;NSF;KPNA6;SEC23IP;TMED2;NUP98;SEC13;PHB2;NUP153;CSE1L;KPNA1;TMED5;SNX6;TNPO1;ARF1;FAM91A1;TIMM21;RANBP3;IPO11;SYNRG;ATP6AP1;NUP155;DESI1;RAB17;TMED7;TNPO3;TPR;NUP85;TMED10;NXT1;IPO5;OXA1L;RAB1B;GGA1;COPZ1;RAB5C;XPO7;NUP93;AKT2;AKAP6;RAB20;FAM53B;RAB6A;SCFD1;RANBP6;ARCN1;SEC31A;TMED3;ARL11;SNX31;SAR1B;ARF6;XPO4;SNX9;VPS33A;POM121C;XPO1;ARL4C;STX5;VPS26A;ARF5;TSG101;AP1M2;VPS35,False
prerank,Protein Import Into Nucleus (GO:0006606),0.6193622838997763,2.327577150464028,0.0,0.0,0.0,43/76,17.80%,KPNA2;E2F3;BCL3;STAT3;MMP12;APLP2;FAM53C;RAN;KPNA3;NUP88;NUP188;NUP62;NUP50;IPO13;POM121;SYK;NUP107;HEATR3;KPNB1;AKT1;NUTF2;KPNA6;NUP98;SEC13;PHB2;NUP153;CSE1L;KPNA1;TNPO1;IPO11;NUP155;TNPO3;TPR;NUP85;NXT1;IPO5;NUP93;RGPD3;FAM53B;RANBP6;RANBP2;RPL17;POM121C,False
prerank,Cellular Response To Tumor Necrosis Factor (GO:0071356),0.568848688100115,2.331232365605912,0.0,0.0,0.0,66/106,19.65%,TNFRSF21;CIB1;TNFRSF1A;PYCARD;TRAF2;TXNDC17;EIF5A;ZC3H12A;AIM2;LIMS1;CCL18;CCL22;PLVAP;TRAF3;TNFRSF1B;GBP1;PYDC1;CCL2;CARD14;STAT1;ADAMTS12;CCL17;CCL19;TRAF4;ZFP36;HYAL2;ZFAND6;CXCL8;RELA;GBP3;CCL5;ADAMTS7;XCL1;BRCA1;NFKBIA;AKT1;BIRC3;CCL4;ARHGEF2;SMPD4;DHX9;GBP2;CCL13;SFRP1;CCL1;CHUK;TRADD;CCL21;CCL20;NPNT;RRAGA;TNFSF11;TRAF1;BIRC2;TRAF5;CCL26;HYAL1;CCL7;ZFP36L2;NKX3-1;ST18;CD40;CCL3;TNF;IKBKB;ACTN4,False
prerank,Regulation Of Interferon-Beta Production (GO:0032648),0.660069838564512,2.336280724357445,0.0,0.0,0.0,22/46,15.01%,OAS1;OAS2;IRF7;OAS3;POLR3G;ISG15;FLOT1;PYCARD;IFIH1;IRF1;RELB;TLR2;REL;TRAF3;DDX3X;SIRPA;POLR3B;PTPN11;DHX9;RIOK3;TBK1;TRIM65,False
prerank,Mitotic Nuclear Division (GO:0140014),0.6687510913360558,2.338378748451546,0.0,0.0,0.0,30/44,20.77%,UBE2S;ZWINT;UBE2C;NUSAP1;ESPL1;KIFC1;TUBG1;NDC80;NCAPG2;KIF18A;NDEL1;RAN;SPAG5;KIF18B;PLK1;NUP62;SMC4;KNTC1;SMC1A;ZNF207;CENPI;CTDP1;TUBG2;KNSTRN;CENPK;MIS12;CHMP7;KIF3B;PPP2R2D;CHMP2A,False
prerank,Positive Regulation Of Lymphocyte Activation (GO:0051251),0.685803593911764,2.3402649460501244,0.0,0.0,0.0,30/42,16.65%,NOD2;CLEC7A;TNIP2;PYCARD;CD47;THY1;PRKCQ;CCR2;PRKDC;CCL2;LCK;SIRPA;HLA-DPA1;HLA-DRB1;XRCC6;SIRPG;CCDC88B;HLA-DQA1;NCKAP1L;HLA-DRA;GNAO1;IL6;TICAM1;HLA-DMB;HSPD1;HLA-DRB5;TNFSF11;HLA-DMA;IL12B;TYROBP,False
prerank,Establishment Of Protein Localization To Organelle (GO:0072594),0.6054148356757995,2.3412503515819503,0.0,0.0,0.0,47/82,16.43%,KPNA2;HK2;E2F3;BCL3;TSPAN17;STAT3;MMP12;APLP2;IL10RA;FAM53C;RAN;KPNA3;SCRIB;NUP88;NUP188;NUP62;NUP50;IPO13;POM121;SYK;NUP107;HEATR3;KPNB1;AKT1;HK1;NUTF2;KPNA6;NUP98;SEC13;PHB2;NUP153;CSE1L;KPNA1;TNPO1;RALA;IPO11;TSPAN10;NUP155;TNPO3;TPR;NUP85;NXT1;IPO5;NUP93;FAM53B;RANBP6;LAMP1,False
prerank,T Cell Activation (GO:0042110),0.5936232639261365,2.348334986544882,0.0,0.0,0.0,59/93,18.58%,CLEC7A;SLAMF7;MSN;FKBP1A;PIK3CD;RASGRP1;PIK3R3;CCR7;CD44;ITK;CD3G;CTPS1;CD28;TREML2;CXADR;TRBC2;DDOST;CD2;SCRIB;CD3D;CD80;CCL19;NCK2;LCK;RAB29;PTPRC;DPP4;PTPN22;RHOH;TNFRSF4;CD247;CD3E;CASP8;TNFSF14;MICB;PTPN2;CD1C;FOXP3;CD74;PIK3CG;MFAP3;CD8A;IFNE;CD7;LCP1;CCL21;HSPD1;SLA2;CD4;SLAMF6;CHD7;IRF4;ZAP70;CEACAM21;CRTAM;SLAMF9;CD276;TRGC2;LY9,False
prerank,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),0.6484129639852406,2.353407788372086,0.0,0.0,0.0,40/56,20.47%,CCNB1;KIF4A;TACC3;CENPE;CKAP5;DLGAP5;INCENP;AURKB;NUSAP1;ESPL1;STIL;MAP4;BIRC5;RCC1;CDK1;TUBG1;NDC80;KIF11;WDR62;TTK;CDCA8;RAN;KIF2A;SPC25;NUF2;PLK1;KPNB1;CENPH;DCTN6;TUBG2;TBCE;STMN1;PLK2;PLK3;NEK6;DCTN2;BCCIP;NUDC;KIF3B;DYNC1H1,False
prerank,Cellular Response To Interleukin-1 (GO:0071347),0.6174627554743078,2.3538368964441254,0.0,0.0,0.0,52/74,23.34%,RPS6KA4;MYD88;TNIP2;IRAK2;PYCARD;IRAK1;HIF1A;CD47;ZC3H12A;CCL18;CCL22;GBP1;NFKB1;MAPK3;CCL2;ADAMTS12;CCL17;CCL19;TOLLIP;MAPK11;HYAL2;SIRPA;CXCL8;RELA;GBP3;CCL5;ADAMTS7;XCL1;CCL4;GBP2;CCL13;SFRP1;CCL1;CCL21;CCL20;CCL26;HYAL1;RC3H1;CCL7;MAP3K7;NKX3-1;ST18;CD40;CCL3;IKBKB;USP10;IRAK3;CCL24;XCL2;HAS2;CCL23;IRAK4,True
prerank,Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),0.6358811051239435,2.2802954741585224,0.0,0.0,0.0,32/52,19.62%,NOD2;CLEC7A;IFI16;CD36;WNT5A;TRIM16;MYD88;PYCARD;GSDMD;STAT3;FZD5;AIM2;PANX1;PYDC1;CCL19;GBP5;CASP8;LGALS9;NLRP3;PYHIN1;LCP1;IL6;MNDA;NLRC4;MALT1;TYROBP;NAIP;CCL3;TNF;TMEM106A;IFNG;MEFV,True
prerank,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),0.6113927708840953,2.356610721684124,0.0,0.0,0.0,49/76,22.14%,NOD2;OAS1;OAS2;CLEC7A;OAS3;FRMD8;WNT5A;PYCARD;IFIH1;STAT3;RASGRP1;FZD5;TLR2;CCR2;BCL10;CD2;CCL19;EPHB2;PTPRC;SYK;IFNGR1;PLCG2;CYBA;ARFGEF2;LGALS9;THBS1;PTPN11;ARHGEF2;DHX9;HAVCR2;FCGR3A;LCP1;IL6;TLR1;PTPRJ;LY96;HLA-E;IL12B;TNFRSF8;TYROBP;CCL3;TMEM106A;CD86;IFNG;RIPK1;IL23A;SPN;FADD;CD84,True
prerank,Cellular Response To Type I Interferon (GO:0071357),0.7513624874604603,2.275842678459918,0.0,0.0,0.0,16/25,14.82%,OAS2;IFITM1;IFITM3;IFI27;MYD88;IRAK1;IFNAR2;TRAF3;STAT1;IFIT1;STAT2;IKBKE;SP100;IFNE;TBK1;TYK2,False
prerank,DNA Duplex Unwinding (GO:0032508),0.6721588722014191,2.2697013681260207,0.0,0.0,0.0,20/39,13.19%,HMGA1;MCM6;GINS3;ASCC3;CDC45;MCM4;BLM;RAD51;MCM5;MCM2;MCM3;MCM7;GINS1;GINS4;SSBP1;DHX9;GINS2;ASCC2;DDX1;RECQL4,False
prerank,DNA Metabolic Process (GO:0006259),0.48782252594906117,2.2235568472842875,0.0,0.0,0.0,115/270,17.49%,KPNA2;DNASE1L3;FSCN1;FAM111B;TREX2;NABP1;VCP;PARP4;FOXE1;TIMELESS;TOP2A;TOP1;POLB;MCM6;PSME4;POLE2;TICRR;CDC45;MCM4;CHEK1;CDK1;TYMS;BLM;ZNF668;RAD51AP1;ORC1;MCM10;HMGB3;ISG20;FEN1;FBXO6;PRKDC;NABP2;RAD51;RAN;DNA2;MCM5;TDP1;UBE2A;DONSON;LONP1;MCM2;MCM3;MCM7;SLX4;UBE2T;EXO1;RPA1;RUVBL1;MRPL36;NUDT15;CDK2;FANCA;NUDT1;GEN1;PARP3;POLQ;DNASE1L1;RNASEH2A;UBE2N;PARK7;DCLRE1B;PDS5A;XRCC6;PNKP;BRCA1;DOT1L;TDG;WDHD1;GTF2H1;DCTPP1;MCRS1;POLE3;CNBP;POLD2;POLA2;PARP1;SP100;NPM1;ATRIP;RUVBL2;PTGES3;ORC6;RAD21;POLD3;HELB;RFC2;SMARCB1;RFC4;SMARCA5;TRIM28;SMC1A;RRM2B;LIG4;MEN1;POLD1;GRWD1;RECQL4;RPA3;RBMS1;LRWD1;HUS1;XRCC5;SAMHD1;NEIL3;REXO4;RAD18;ATR;POLG;DCLRE1C;ACTL6A;SET;XRCC2;RFC5;RRM1,False
prerank,Negative Regulation Of Immune Response (GO:0050777),0.6076189333770088,2.2237529834324334,0.0,0.0,0.0,37/63,18.01%,IFI16;FURIN;SAMSN1;RHBDF2;AURKB;ALOX15;LYN;MYO1C;YES1;YWHAZ;CCR2;DHX58;PRKDC;SRC;TRIM21;FGR;SYK;HLA-DRB1;AKT1;FOXP3;PARP1;PDCD1;LYAR;ZDHHC18;PLCG1;HAVCR2;MAPK14;MUL1;TRIM27;PLK2;FCRLB;SPI1;COL3A1;HCK;MKRN2;RC3H1;ATG5,True
prerank,Regulation Of Defense Response To Virus By Host (GO:0050691),0.6783228532210487,2.2243595170951336,0.0,0.0,0.0,23/32,21.90%,PARP9;DTX3L;TRAF3IP2;TRIM22;ZC3H12A;IL12RB1;STAT1;PTPN22;APOBEC3G;MICB;TARBP2;DHX9;NT5C2;ZDHHC1;MUL1;IL12B;APOBEC3F;IL23R;TRIM44;HSP90AA1;TNFAIP3;IL23A;PQBP1,False
prerank,Regulation Of Interleukin-10 Production (GO:0032653),0.6673268827952188,2.230645207016483,0.0,0.0,0.0,28/40,16.65%,TNFRSF21;NOD2;CLEC7A;JAK3;ISG15;CD274;TRIB2;PYCARD;STAT3;CD47;IL13;CD28;TIGIT;SYK;PLCG2;HLA-DRB1;XCL1;LGALS9;FOXP3;CD40LG;PDCD1LG2;LILRB4;IL6;HSPD1;IRF4;IL12B;TSLP;TYROBP,True
prerank,Positive Regulation Of Interferon-Beta Production (GO:0032728),0.6895096866054317,2.231585082917532,0.0,0.0,0.0,17/32,15.01%,OAS1;OAS2;IRF7;OAS3;POLR3G;ISG15;FLOT1;IFIH1;IRF1;TLR2;DDX3X;POLR3B;PTPN11;DHX9;RIOK3;TBK1;TRIM65,False
prerank,Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236),0.6108993359213318,2.232871067443215,0.0,0.0,0.0,31/58,14.58%,TGFBR1;PYCARD;TRAF2;TNFSF10;LTBR;PSME3;PML;ITGA6;TNFRSF12A;CYLD;TMC8;BCL10;GSTP1;SRC;PAK2;STX4;HYAL2;RELA;PARK7;BID;ITGAV;LTB;BCL2L12;THBS1;SP100;MEN1;SIAH2;DEDD2;BMP4;TRAF1;HTT,False
prerank,Positive Regulation Of Chromosome Organization (GO:2001252),0.7016189500095396,2.2361646371360377,0.0,0.0,0.0,17/31,13.37%,NCAPH;AURKB;PML;CDK1;NCAPG;NCAPG2;FEN1;SLX4;SIRT6;SMC2;NCAPD2;SMC4;TINF2;RAD21;GNL3;LIG4;NCAPH2,False
prerank,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),0.6342169491699495,2.2365232736429963,0.0,0.0,0.0,28/51,12.74%,CCNB1;CDKN3;CCND2;PKMYT1;CCNB2;CDC6;CDK5R1;CCNA2;BLM;CDC25A;CDKN1A;SERTAD1;CCNE1;CCND3;HERC5;CDC37;CDK7;CDC25C;GTF2H1;CCNE2;STOX1;GTPBP4;CCNJ;CDKN2B;CCNF;CCNK;CCNJL;CDKN2D,False
prerank,Regulation Of Immune Response (GO:0050776),0.5943138423290354,2.2419215242981627,0.0,0.0,0.0,39/69,17.59%,IRF7;PLSCR1;LRP8;RSAD2;FKBP1A;LYN;IRF1;IL4I1;DENND1B;APLP2;CSK;DHX58;RIPK3;SH2D1A;N4BP1;FGR;PTPN22;SYK;CASP8;HLA-DRB1;SPPL2A;FOXP3;BIRC3;PDCD1;HLA-DRA;GPR108;CXCL13;IL15;XIAP;FCGR3A;SLA2;BIRC2;SAMHD1;IRF4;FCRLB;COL3A1;AHR;FCGR1A;CD276,True
prerank,Import Into Nucleus (GO:0051170),0.6013387753115481,2.2487879368703814,0.0,0.0,0.0,40/71,16.41%,KPNA2;E2F3;BCL3;STAT3;MMP12;APLP2;FAM53C;RAN;KPNA3;NUP88;NUP188;NUP62;NUP50;IPO13;POM121;SYK;NUP107;HEATR3;KPNB1;AKT1;NUTF2;KPNA6;NUP98;SEC13;PHB2;NUP153;CSE1L;KPNA1;TNPO1;IPO11;NUP155;TNPO3;TPR;NUP85;NXT1;IPO5;NUP93;FAM53B;RANBP6;HTATIP2,False
prerank,Positive Regulation Of Response To External Stimulus (GO:0032103),0.5372044621673562,2.2503260375883327,0.0,0.0,0.0,69/142,19.62%,S100A9;S100A8;PLSCR1;POLR3G;GRN;WNT5A;IFI35;PLAU;S100A12;TNFRSF1A;PYCARD;TGFB1;GSDMD;MYO1C;CD47;SERPINE1;TLR2;AIM2;CCR2;ETS1;ADAM8;STX3;PTGER4;PPM1F;CCL19;AKIRIN2;TNIP1;LGALS2;CASP4;STX4;HYAL2;PLAT;GBP5;CYBA;CCL5;NKG7;POLR3B;NFKBIA;THBS1;NLRP3;OSM;DHX9;GPR4;IL15;THBD;RNF31;CCL1;PLA2G2A;TRADD;LCP1;IL17RA;CCL21;LY96;NLRC4;RIOK3;GPSM3;USF1;IL12B;CD180;TSLP;SCARF1;NAIP;CCL26;SH2D1B;MMRN2;CCL3;TNF;IFNG;MEFV,False
prerank,Defense Response To Gram-positive Bacterium (GO:0050830),0.6151611452299661,2.2506833475483212,0.0,0.0,0.0,26/56,14.42%,LCE3A;KRT6A;SPRR2A;MYD88;GSDMD;DEFB4A;TLR2;LYZ;CASP4;FGR;PGLYRP2;DEFB103A;GBP6;CAMP;PPP1R11;ROMO1;GBP4;GBP2;PGLYRP4;HLA-A;PLA2G2A;LCE3C;IL6;RNASE13;PGLYRP3;HLA-E,False
prerank,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.5427207173288223,2.250912905576686,0.0,0.0,0.0,66/124,19.62%,TNFRSF21;PIK3CD;THY1;ZC3H12A;ITK;CD3G;LAT2;DENND1B;BLNK;CD28;CSK;RFTN1;BCAR1;BCL10;TRBC2;CTLA4;STOML2;CD3D;LCK;PTPRC;THEMIS2;PTPN22;CD38;LCP2;SYK;HLA-DPA1;CD247;CD3E;PDE4B;PLCG2;UBE2N;HLA-DRB1;EIF2B2;NFKBID;NCKAP1L;THEMIS;KHDRBS1;GNAO1;PLCG1;RNF31;LAX1;RC3H2;EIF2B5;HLA-A;CD8A;PTPRJ;IKBKG;SKAP1;SLA2;MNDA;EIF2B1;MS4A1;IGHG1;SPG21;ZAP70;MALT1;SPPL3;EIF2B4;EIF2B3;CD276;RC3H1;MAP3K7;TRGC2;IGHG2;IKBKB;NFAM1,False
prerank,Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),0.840518939310602,2.2513266297146135,0.0,0.0,0.0,10/15,3.95%,CDC20;RB1;DLGAP5;UBE2C;INCENP;AURKB;ESPL1;BIRC5;ANAPC7;CDCA8,False
prerank,Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702),0.6953402141968122,2.251584632549953,0.0,0.0,0.0,22/32,19.19%,NOD2;GPI;WNT5A;XBP1;SLC7A5;SASH3;EPHB2;PTPRC;STX4;PTPN22;TNFRSF4;IL10;XCL1;LAPTM5;VAMP3;PHB2;IL6;HLA-E;FFAR2;MZB1;CLCF1;CD86,True
prerank,Mitotic Spindle Organization (GO:0007052),0.5853427378582554,2.254337959701543,0.0,0.0,0.0,46/80,18.48%,CCNB1;KIF4A;CENPE;KIF23;FLNA;CKAP5;VCP;AURKA;TPX2;DLGAP5;INCENP;AURKB;STIL;MAP4;BIRC5;RCC1;PRC1;KIFC1;TUBG1;NDC80;KIF11;WDR62;TTK;CDCA8;RAN;KIF2A;SPC25;NUF2;PLK1;RHOA;KPNB1;CENPH;DCTN6;CHEK2;SMC1A;ZNF207;TUBG2;TBCE;STMN1;PLK2;PLK3;MAP9;NEK6;DCTN2;WRAP73;BCCIP,False
prerank,Positive Regulation Of Type II Interferon Production (GO:0032729),0.6294802318098683,2.256208606763441,0.0,0.0,0.0,29/53,18.72%,CLEC7A;IL12RB2;ISG15;PYCARD;RASGRP1;FZD5;CCR2;IL12RB1;SLAMF1;CD2;CD226;SCRIB;SLC7A5;PTPN22;HLA-DPA1;PDE4B;LGALS9;CD244;MYDGF;HLA-A;HSPD1;EBI3;TRIM27;SLAMF6;TYK2;IL12B;CRTAM;CD276;IL23R,False
prerank,NIK/NF-kappaB Signaling (GO:0038061),0.6938135008099127,2.2573319767466367,0.0,0.0,0.0,22/32,19.11%,TNFRSF10B;MAP3K14;TRAF2;IRAK1;RELB;REL;TNFRSF10A;NFKB2;NFKB1;CARD14;DICER1;RELA;CARD10;NFKBIA;BIRC3;ZFP91;CHUK;BIRC2;MALT1;MAP3K7;TAB2;AMFR,False
prerank,Positive Regulation Of T Cell Proliferation (GO:0042102),0.6196847346374467,2.2632960293212996,0.0,0.0,0.0,38/59,21.76%,PNP;CD274;PYCARD;CCR2;CD28;VCAM1;IL12RB1;CD6;CD80;CCL19;NCK2;PTPRC;SYK;HLA-DPA1;CD3E;CCL5;LILRB2;CD40LG;CCDC88B;SLC7A1;NCKAP1L;IL15;PDCD1LG2;ANXA1;IL6;HLA-DMB;EBI3;CD209;TYK2;IL12B;TNFSF9;CD276;IL23R;CD86;IL6ST;IL23A;FADD;TFRC,False
